Input.wordnet_id,Input.class_index,Input.feature_index,Input.feature_rank,Answer.main
n01440764,0,59,1,0
n01440764,0,686,2,0
n01440764,0,701,3,0
n01440764,0,1696,5,0
n01440764,0,2030,4,0
n01443537,1,316,1,0
n01443537,1,457,4,0
n01443537,1,495,2,0
n01443537,1,1462,5,0
n01443537,1,1845,3,0
n01484850,2,227,4,0
n01484850,2,686,5,0
n01484850,2,1697,2,1
n01484850,2,1823,3,0
n01484850,2,2034,1,0
n01491361,3,686,1,0
n01491361,3,905,4,0
n01491361,3,981,5,1
n01491361,3,1697,2,1
n01491361,3,1823,3,0
n01494475,4,227,4,0
n01494475,4,686,2,0
n01494475,4,905,5,0
n01494475,4,981,3,1
n01494475,4,1697,1,1
n01496331,5,227,2,0
n01496331,5,310,1,0
n01496331,5,564,4,1
n01496331,5,981,3,1
n01496331,5,1827,5,0
n01498041,6,227,2,0
n01498041,6,310,4,0
n01498041,6,491,5,1
n01498041,6,564,3,1
n01498041,6,847,1,1
n01514668,7,233,5,0
n01514668,7,317,2,0
n01514668,7,1236,1,0
n01514668,7,1667,3,0
n01514668,7,1964,4,0
n01514859,8,317,2,0
n01514859,8,1236,1,0
n01514859,8,1297,5,0
n01514859,8,1667,4,0
n01514859,8,1964,3,0
n01518878,9,63,5,1
n01518878,9,569,1,0
n01518878,9,1236,3,0
n01518878,9,1830,2,0
n01518878,9,1964,4,0
n01530575,10,371,3,1
n01530575,10,457,4,0
n01530575,10,660,2,0
n01530575,10,1468,5,0
n01530575,10,1780,1,0
n01531178,11,520,2,0
n01531178,11,660,3,0
n01531178,11,1348,4,0
n01531178,11,1407,5,0
n01531178,11,1780,1,0
n01532829,12,371,5,1
n01532829,12,660,2,0
n01532829,12,957,4,0
n01532829,12,1667,3,0
n01532829,12,1780,1,0
n01534433,13,371,4,1
n01534433,13,422,3,0
n01534433,13,660,2,0
n01534433,13,1541,5,1
n01534433,13,1780,1,0
n01537544,14,44,2,0
n01537544,14,342,5,0
n01537544,14,523,1,0
n01537544,14,660,4,0
n01537544,14,1780,3,0
n01558993,15,220,5,0
n01558993,15,262,4,0
n01558993,15,660,2,0
n01558993,15,1667,3,0
n01558993,15,1780,1,0
n01560419,16,422,3,0
